id_original,texto_limpio,etiqueta_original,prediccion_svm
61,la tirana codicia del hermano impia ocasion del fin de tu siqueo huiste fiel por el airado egeo elisa hasta el termino africano donde reliquias del ardor troyano encendieron en ti nuevo deseo y entregaste en infausto himeneo al teucro enganador la fe y la mano despreciaste en tu dano presurosa la merecida fama que destruyes con el engano que obstinada quieres oh en ambas bodas poco venturosa muriendo el uno perseguida huyes huyendo el otro desdenada mueres,Amoroso,Amoroso
12,nereidas que con manos de esmeraldas para sangrarle las ocultas venas de perlas nacar y corales llenas azotais de neptuno las espaldas y cenidas las frentes de guirnaldas sobre azules delfines y ballenas oro puro cerneis de las arenas y lo guardais en las mojadas faldas decidme asi de vuestro alegre coro no os aparte aquel dios que en eolia mora ni con valiente soplo os haga agravios hallais corales perlas nacar oro tal como yo los hallo en mi senora en cabellos en frente en boca en labios,Amoroso,Religioso Mistico
582,en el prospero tiempo las serenas planen e lloran recelando el mal en el adverso ledas cantinelas cantan e atienden al buen temporal mas que sera de mi que las mis penas cuitas trabajos e largor mortal jamas alternan ni son punto ajenas sea destino o curso fatal mas emprentadas el animo mio las tiene como piedra la figura fixas estables sin algun reposo el cuerdo acuerda mas non el sandio la muerte veo e non me do cura tal es la llaga del dardo amoroso,Melancolico,Melancolico
7,julia si de la parca el furor ciego permitiera en tu vida mas tardanza no viera roma en su mayor pujanza de las guerras domesticas el fuego que semejante en el piadoso ruego a las sabinas la furiosa lanza redujeras repuesta la venganza a paz alegre y a comun sosiego al detenido dano y armas fieras tu acelerada muerte abrio camino rota la fe que violentada estaba tu sola el istmo de estas ondas eras mas acabo la fuerza del destino vida que tantas muertes excusaba,Melancolico,Melancolico
597,horas breves de mi contentamiento nunca pense jamas cuando os tenia que por mi mal trocadas os veria en tan cumplidas horas de tormento las torres que funde se llevo el viento como el viento veloz las sostenia mas de todo este mal la culpa es mia pues hice sobre falso el juramento amor con vanas muestras aparece todo lo hace llano y lo asegura y luego a lo mejor desaparece oh grande mal oh grande desventura por un pequeno bien que desfallece aventurar un bien que siempre dura,Amoroso,Religioso Mistico
581,cuentan que esforaba thimoteo a los estrenuos e magnos varones e los movia con viril desseo con agros sones e fieras canciones a la batalla e del mismo leo los retornaba con modulaciones e dulce carmen d aquel tal meneo e reposaba los sus coracones assi el animo mio se altivece se jacta e loa porque vos amo cuando yo veo tanta fermosura mas luego pronpto e presto s entristece e se maldize porque lo assayo vista vuestra crueza cuanto dura,Amoroso,Amoroso
155,lisipo a solas el trasunto vero pudo esculpir del macedonio marte do reguladas fuerzas y arte fue el escultor igual a su guerrero pues tu que agora juntas marte ibero al mundo antiguo tu segunda parte bien debe quien intenta figurarte sobrar la industria del buril primero mas como de alejandro el soberano reino te aumenta el cielo gran filipo asi te da escultor que al suyo eccede ya ves docta labor en tosca mano que oscureciendo el arte de lisipo tu espiritu infundir al marmol puede,Religioso Mistico,Religioso Mistico
487,docto museo cuyo aliento altivo escribe el sol en laminas lucientes y es la memoria de futuras gentes de tanto escrito tomo sucesivo hospede grato el bronce siempre vivo vuestros nombres y espiritus valientes pues aun con ser apolos elocuentes os festeja amoroso el ramo esquivo venid vivid la edad de vuestro nombre por mas que el tiempo destruidor presuma de tanto ingenio oscurecer la llama y para que os debais vuestro renombre no ajena voz alaba vuestra pluma prestad plumas y voz a vuestra fama,Melancolico,Religioso Mistico
361,si un fenix de otro fenix producido la forma tiene de aquel ser unida y junta a los rigores de homicida piadoso fuego que sirvio de nido muriendo lope montalban ha sido el fenix que naciendo le da vida con su estilo con gloria repetida a pesar de las aguas del olvido mas hoy del fenix muere el heredero lloren las musas y lamente apolo en el siglo presente y venidero y siempre se lamente y llore el polo cuando procede el hado tan severo y hasta el numero muere y queda el solo,Melancolico,Melancolico
555,a coronarte nubes castro al cielo rio a acabar te escondes en la tierra mendoza vuelas rayo de la guerra hurtado bajas desatado el cielo hurtado rio mueres en el suelo mendoza brillas astro que no yerra en tu curso fatal sutil se encierra en fin sagrado dueno y otro vuelo rio en la mar en el calor hurtado mendoza en aire en ceniza castro fue lamentar compuesto se destroza pero espiritu todo arrebatado nuevo te admira el orbe todo un astro de hurtado castro rio de mendoza,Religioso Mistico,Religioso Mistico
507,yace tendido en la desierta arena que casi siempre el mar bana y esconde de thirsi el cuerpo el alma alberga donde sembro amor las simientes de su pena alli mientras su llanto amargo suena entre las penas eco le responde thirsi cuitado adonde estas por donde saldras a ver tu luz pura y serena aqui el cielo nubloso el viento airado mantiene con el mar perpetua guerra y el con estas montanas que rodea ah de thirsi de dolor cercado mas que de mar cuando sera que lea phili en tu frente lo que el pecho encierra,Religioso Mistico,Religioso Mistico
38,de vos me aparto honor en tal mudanza alegre de mi mal mi infamia siento de que me servira tener contento si mas ha de perder quien mas alcanza quiteme amor el bien de la esperanza que si van mis desdichas en aumento por fuerza ha de dejarle a mi tormento la memoria por ser lo que mas cansa viviendo la memoria ha de matarme quitarme la esperanza es darme muerte leno en mar proceloso voy y vengo pero quiero en mis males consolarme tengo esperanza no pues de que suerte me ha de quitar amor lo que no tengo,Amoroso,Amoroso
542,este que acaso incierto es el cuidado la fe venere misterioso acierto sacro favor que se vincula cierto al merito feliz de imaginado de madre oh virgen es mayor agrado pues hoy de vuestro corazon advierto que por mostrarle al hombre descubierto al hijo dios le permitis negado y si el es otro en vos y no segundo dire que le aplicais a la otra parte porque en entrambas el error le acierte mas oh infelice cuanto ingrato mundo este que arbitrio fue para ganarte tomas para disculpa del perderte,Religioso Mistico,Religioso Mistico
270,quien muere alli detente escucha mira no ves que gran dolor otra vez huerto cadaver tronco que de horror cubierto a otro tronco en sufrir alma respira desde la cruz un heroe aliento inspira al gran javier que mide con pie incierto el indio suelo y congojado o muerto la tierra el aire el agua el fuego admira suda javier todo alma padeciendo sude cristo que es cuerpo en pena aguda en cuerpo y alma esta el amor muriendo el cuerpo y al verdad mueren sin duda que como el alma gime falleciendo el cuerpo alla en la cruz sangre trasuda,Religioso Mistico,Religioso Mistico
244,dilatandose va por esos llanos los verdes montes y los claros rios largos los unos para ser desvios altos los otros para ser tiranos agora de los astros soberanos cumplen la obstinacion mis desvarios cual si fuesen tambien los albedrios sujetos a las furias de sus manos pero tu estrella celestial subida los astros venceras rios y montes vengandole a mis ojos su violencia luz gozara la fe alma la vida miedo la suerte sol los horizontes paga el amor y credito la ausencia,Religioso Mistico,Amoroso
24,los campos de madrid isidro santo angeles aran cuando tu arrobado estas con dios y en dios tan endiosado que el heroe labrador da al cielo espanto angelicas cohortes entre tanto a iban por ti ministran tu cuidado candidos bueyes celestial arado el campo fructifican sacrosanto aqueste labrador orando alcanza con lagrimas de gozo enternecido labrarse para dios darse en tributo las angeles que estan en su labranza por cosecha del cielo le han cogido sembrando aqui sus lagrimas el fruto,Religioso Mistico,Religioso Mistico
142,pudo rendirse a la cruel dolencia la majestad del cedro mas pomposo que tan bien buscan triunfo glorioso los rayos del dolor en la eminencia cesen lamentos ya pues su violencia solo fue amago en trueno escandaloso porque topo del golpe lo furioso en el laurel augusto resistencia pudo morir y resistiose altiva o nunca al riesgo su valor se ablande mariana que siempre inmortal viva que no el golpe por mas que se desmande lo grande luego de su ser derriba aunque lo encuentre luego por lo grande,Melancolico,Melancolico
540,un ulises prudente un pio eneas en sus largos viajes y cuidados de animos y elementos indicados metidos en mil asperas peleas hace mi hermano aqui lector que veas en un monje pobrisimo cifrados y con cristiana poesia ornados de mil hermosas galas y libreas y vivamente ante tus ojos pone la maravilla vista en monserrate del virginal retrato y templo santo el arte juzga tu con que dispone y guarda y da su altisimo quilate al verso heroico y al heroico canto,Religioso Mistico,Religioso Mistico
543,con el mismo instrumento en que solia el pastor de partenope famoso hacer son tan suave y deleitoso que fieras aves y hombres suspendia hace lope tambien tal armonia con el arco y el verso numeroso que mejor otra vez del espantoso centro sacar a euridice podria ya la destreza de la suelta mano entra la pausa musica y redobles junta la varia voz con tal dulzura que es lope como amor dulce tirano de entendimientos altos de almas nobles que aspiran solo a la divina altura,Amoroso,Religioso Mistico
246,yo vi del rojo sol la luz serena turbarse y que en un punto desparece su alegre faz y en torno se oscurece el cielo con tiniebla de horror llena el austro proceloso airado suena crece su furia y la tormenta crece y en los hombros de e atlante se estremece el alto olimpo y con espanto truena mas luego vi romperse el negro velo deshecho en agua y a su luz primera restituirse alegre el claro dia y de nuevo esplendor ornado el cielo mire y dije quien sabe si le espera igual mudanza a la fortuna mia,Religioso Mistico,Religioso Mistico
272,sobre el sepulcro del ilustre griego que honro con sus cenizas el sigeo mejor que a caria el rico mausoleo alejandro paro y exclamo luego oh gloria de la grecia claro fuego cuya llama las nieblas del leteo no bastan a encubrir ni su trofeo robar podra jamas olvido ciego a ti dichoso joven guardo el cielo porque eterno tu nombre al mundo fuera del grande homero la divina historia que si de aquella pluma el alto vuelo faltara un mismo tumulo cubriera tu mortal suerte y tu inmortal memoria,Religioso Mistico,Amoroso
164,sone que una piedra me arrojaba quien mi querer sujeto asi tenia y casi ya en la boca me cogia una fiera que abajo me esperaba yo con temor buscando procuraba de donde con las manos me tendria y el filo de una espada la una asia y en una hierbezuela la otra hincaba la yerba a mas andar la iba arrancando la espada a mi la mano deshaciendo yo mas sus filos vivos apretando oh misero de mi que mal me entiendo pues huelgo verme estar despedazado de miedo de acabar mi mal muriendo,Amoroso,Melancolico
143,bana llorando el ofendido lecho de colatino la consorte amada y en la tirana fuerza disculpada si no la voluntad castiga el hecho rompe con hierro agudo el casto pecho y abre camino al alma que indignada baja a la oscura sombra do vengada aun duda si su ofensa ha satisfecho vencio el paterno llanto endurecida y de su esposo el ruego que no basta menosprecio con un mortal desvio ceda al debido honor la dulce vida que no es bien dijo que otra menos casta ose vivir con el ejemplo mio,Melancolico,Amoroso
478,si francia esta gloriosa y arrogante por tener doce pares de la fama si anibal a cartago la encarama pues dio en guerras de si prueba bastante si africa con cipion esta pujante pues en las arma su valor derrama hoy noble capitan la misma fama y el enemigo triste quien sois cante si parnaso es tenido y reputado por ser morada de las musa nueve por eso vos tambien sois alabado si alguno ver quisiere si es quien debe en este curiosisimo tratado su grande ingenio y mucho saber pruebe que el capitan se atreve en aspereza tal de la montana dar verso de dulzura tan extrana,Melancolico,Amoroso
217,lidia de tu avarienta hermosura pide el tiempo enemigo estrecha cuenta ya ni el crespo cabello al oro afrenta ni las mejillas a la nieve pura tu mentida belleza mal segura en vano reparar el dano intenta de la edad que en sus ojos representa con tragedia mortal la lumbre oscura ya ya no me veras de noche al viento banar de infame llanto tus umbrales comparando a la suya su dureza que el tiempo con efectos desiguales me da venganza roba tu belleza te da dolor y cura mi tormento,Melancolico,Melancolico
359,imagen de la vida y de la muerte que vida y muerte son un breve sueno treguas de paz al riguroso ceno de la mas infeliz y dura suerte pues en ti su rigor el arco fuerte afloja y calma el combatido leno recibeme en tu paz en cuyo empeno mi guerra entrego hasta que en paz despierte ya que otro bien no ofreces sueno amigo sino privar del mal y eres figura del no ser privacion del todo extrema no me niegues el seno de tu abrigo donde hallando su fin mi desventura n mas miseria ni mayor la tema,Melancolico,Melancolico
354,confeso en el linaje y moro puto y mixto en linea estrecha con villano ya he visto ser la flecha de tu mano y que eso es tu lenguaje y tu tributo avieso fue el ultraje disoluto de listo erro la flecha el cuero insano que a cristo iba derecha y dio al cristiano suceso que en tu traje pondra luto detenga esa lanzada de minerva y caiga o no en la cuenta de sus yerros si asesta otra contemple esta medida y venga enherbolada en esa yerba y traiga la tormenta de tres fierros como esta que no hay temple que la impida,Religioso Mistico,Religioso Mistico
508,anima devota que en el signo e santo nombre estas contenplando e los sus rayos con viso aquilino solares miras fixo non vagando seras perfecto e discipulo digno del pobre seraphico guardando el orden suyo ganaste el devino lugar eterno do vivis triunfando ningunas dignidades corrompieron el fuerte muro de tu santidad sabenlo siena ferrara e orbino nin las sus ricas mitras conmovieron las tus ynopias nin tu pobredad por mi te ruego ruegues bernaldino,Religioso Mistico,Amoroso
130,mientras quede cartago las banderas triunfar intentan del valor romano y espera victorioso el africano pisar del vago tiber las riberas tu grande dictador entre las fieras trompas con lento pie y segura mano sin sangre alguna derribaste el vano orgullo de las armas extranjeras no te vencio de la opinion contraria el opuesto rumor a tu alabanza que facilmente lo desprecia el sabio oh prudente esperar oh voluntaria constancia por quien roma ver alcanza a anibal roto y vencedor a fabio,Heroico,Amoroso
328,esta que guarda candida ceniza tanto valor fajardo en urna breve despojos mudos de la muerte aleve que la fama retorica eterniza hoy su pompa su maquina eterniza tierna piedad que a un pecho heroico mueve y pagando a su sangre lo que debe su fin dichoso encanto solemniza renueva el sentimiento la memoria de tanto puesto sol que en luz fecundo viven aunque murio sus resplandores que es bien que corresponda a eterna gloria otro nuevo dolor para que el mundo una perdida cueste dos dolores,Melancolico,Melancolico
287,musas italianas y latinas gentes en estas partes tan extrana como habeis venido a nuestra espana tan nuevas y hermosas clavelinas o quien os a traido a ser vecinas del tajo de sus montes y campana o quien es el que os guia y acompana de tierras tan ajenas peregrinas don diego de mendoza y garcilaso nos trujeron y boscan y luis de haro por orden y favor del dios apolo los dos llevo la muerte paso a paso soliman el uno y por amparo solo queda don diego y basta solo,Religioso Mistico,Religioso Mistico
340,si entre los sabios griegos fue ilustrado homero por su tan subida rima y entre latinos se le dio la prima al mantuano heroico celebrado que merece el que el vuelo a levantado cantando lo que el cielo tanto estima como es un pecador cuando se anima a salir con fervor de su pecado mayor palma es la vuestra y mayor gloria virues pues con poema peregrino cantais del gran garin las alabanzas y de aquel santuario la memoria eternizais abriendonos camino a contemplar divinas esperanzas,Religioso Mistico,Religioso Mistico
337,vuelve mortal deten el paso incierto y veras al que en polvo reducido fue cuanto pudo y es cuanto no ha sido de tanta humanidad seguro puerto no le llores de lagrimas cubierto pues yace vencedor contra el olvido que si lope murio de haber nacido tambien ahora vive de haber muerto fallecio en su mortal naturaleza y si tu con piedad enternecida trasladas su memoria a tu flaqueza llora su pluma al mundo ya perdida que no te obligara a mayor tristeza el que murio para tener mas vida,Melancolico,Melancolico
205,del vencedor huyendo a lesbos deja pompeyo roto en la farsalia guerra con su esposa se embarca y a la tierra que inunda el nilo por su mal se aleja que el hado riguroso que le aqueja y al extranjero reino le destierra en la seguridad que busca encierra el fin que dio a cornelia eterna queja fiera tormenta en el buscado puerto el gran pompeyo halla en vez de abrigo quien las mudanzas de la suerte ignora quien no recelara el suceso incierto si da la muerte el obligado amigo si el enemigo vencedor le llora,Melancolico,Melancolico
427,esta ciudad que el africano doma cuando mas espantaban sus banderas y vio las armas y las huestes fieras de jupiter de cristo y de mahoma esta muralla que en el monte asoma que ya sirve de nidos en canteras acabo si mas conservo de veras la consagrada fe que le dio roma ah fe sola entre piedras sostenida mal guardada en humanos corazones adonde mereciera estar tu punto guarda esos muros donde estas asida que acabaran tu nombre y tus blasones en acabando yo y faltar sagunto,Religioso Mistico,Religioso Mistico
63,vive inmortal milagro peregrino que aconteciste raro a nuestra espana en cuanto el mundo en ti se desengana de que abriste a las musas el camino ya callara la envidia del destino obediente a su barbara guadana vive vive inmortal pues te acompana toda una eternidad para divino de tu gran monumento voto sea cuanta del pindo devocion ardiente fue en otro tiempo en aras y en altares porque la envidia a su despecho vea que asiste a lope en culto reverente de tres orbes la fe de cuatro mares,Religioso Mistico,Melancolico
212,no me admira de vos padilla tanto el admirable ingenio soberano ni que al de esmirna llegue vuestra mano ni igualar al de tracia vuestro canto ni la presteza a quien con nuevo espanto aquel que llegar piensa piensa en vano que aunque esto pasar muestra el curso humano puedelo todo el justo cielo santo mas admirame ver que en la edad nuestra haya quien piense dar tan alto vuelo que a llegar diga lo que en vos se encierra digalo esta labor divina vuestra que ella os hace milagros aca del cielo honor de espana y gloria de la tierra,Religioso Mistico,Religioso Mistico
304,maldito seas amor perpetuamente tu nombre tu saeta venda y fuego tu nombre que con tal desasosiego me fuerza a andar perdido entre la gente tu flecha que me hizo asi obediente de aquella falsa de quien ya reniego tu venda con que me hiciste ciego y asi juzgue por angel la serpiente y el fuego sea maldito cuya llama no toca al cuerdo que es muy gran locura y al necio solo su crueldad consiente y asi el cuitado espiritu que ama dira tu rostro viendo o tu figura maldito seas amor perpetuamente,Amoroso,Amoroso
308,esplendores celajes riguroso salvaje llama liquido candores vagueza faz purpurea cintia ardores otra vez esplendores caluroso ufania apacible numeroso luengo osadia afan verdor errores otra y quinientas veces esplendores mas esplendores crespo glorioso cercos asperos albos encrespado esparcir espirar lustre fatales cambiar y de esplendor otro poquito luces eburneo nitido asombrado orna colora joven celestiales esto quitado cierto que es bonito,Melancolico,Religioso Mistico
68,el jabali de arcadia el leon nemeo el toro a los cien pueblos pavoroso cayeron a mis pies y victorioso de la hidra me vio el lago lerneo el can de tres gargantas y tifeo fieras guardas del claustro tenebroso no burlaron mi intento generoso ni le valio caer al fuerte anteo ejemplos de mi ilustre vencimiento son aceloo busiris y diodemes y el rey a quien huir hesperia mira mas por que ufano mis historias cuento cautivo en tu prision cuanto mas puedes si me rendiste oh bella deyamira,Heroico,Amoroso
578,non es a non de limitar el ano el mes nin la semana nin el dia la hora el punto sea tal engano lexos de nos e fuyga toda via cuando menos dudamos nuestro dano la grand baylessa de nuestra baylia corta la tela del humanal pano non suenan trompas nin nos desafia pues non sirvamos a quien non debemos nin es servida con mil servidores naturaleza si bien lo entendemos de poca es farta nin procura honores jove se sirva e a ceres dexemos nin piense alguno servir dos senores,Heroico,Amoroso
259,ay de cuan poco sirve al arrogante el edificio que soberbio empina sobre pilastras de tenaro y fina de marmol piedra y color cambiante pues cuanto mas del suelo se levante maquina excelsa al cielo convecina tanto mas cerca atiende a su ruina tanto mas cerca al rayo del tonante consumira en los jaspes su tesoro y consumidos de la propia suerte ellos seran en terminos ligero y por ventura entre alabastros y oro del alto capitel vera su muerte pobre y desnudo el sucesor primero,Religioso Mistico,Religioso Mistico
261,vuela o cisne espanol a mejor nido y en eterna region te fija estrella de albergue muda y con tu fama huella las precisas injurias del olvido mejorar no es morir que aunque oprimido al raro bulto helada pira sella felice fue la ruina pues por ella firme padron tu fama te ha erigido sola una gloria adquiere el hombre sabio mas sin morir no se adquirio esta gloria que en la posteridad fundo su suerte muere o tu pues aunque parezca agravio que por verte inmortal a la memoria sera festivo el llanto de tu muerte,Melancolico,Melancolico
534,si en verde oriente ya luz encarnada es de tu sol oh flor sena olorosa no crezcas hasta el dia de ser rosa que son las horas muerte disfrazada no mas beldad aspires enganada que estas si creces en llegando a hermosa del achaque de un dia peligrosa de enfermedad de un sol amenazada arrepentida en balde flor vecina pues a tu error no sirve su experiencia aproveche a tu riesgo documento baste ya de otras rosas la ruina no te prosigas que en mortal dolencia ninguno de si mismo es escarmiento,Amoroso,Amoroso
26,a quien vive aqui c un pobre peregrino a pues peregrino con hogar y casa c no la veis toda ya desierta y rasa que solo este sobrado quedo en pino a quien os trajo a tal lugar c mi sino a quien sois c soy viento que no vuelve y pasa tuve favor del mundo tuve el asa paso el buen tiempo y el adverso vino a que haceis aqui c un cesto una canasta tal vez de mimbre tal de seco esparto con que gano el sustento que me basta y no me vi os prometo jamas harto de pretensiones militares hasta que el desengano me alquilo este cuarto,Melancolico,Amoroso
412,cantas con primor tanto soberano que logrando las dichas del acierto en la posteridad tomaste puerto gloria mayor del territorio hispano no el camoens en las veras lusitano no el pindaro andaluz en chanza experto consiguieron en ritmos el concierto que hoy con la pluma nos dicto tu mano canta a pesar del odio y de la envidia joven ilustre cuya edad derrama celestes por las zonas esplendores para triunfo mayor con todos lidia y veras con las manos de la fama tu frente coronar de varias flores,Heroico,Amoroso
322,que son confuso que rumor tremendo de armas francesas oigo en coyuntura tan de dolor y en la tiniebla oscura templados parches militar estruendo que concavos volcanes escupiendo flamantes globos miro que espesura de negros humos infernal figura formidable espectaculo y horrendo por mas que afectas musa entronizarte metiendo en arma el universo todo con estilo grandilocuo y valiente mas de mercurio y venus que de marte hallo en tu descripcion y la acomodo a cierto joven galico doliente,Melancolico,Amoroso
227,asi senor sentis ver oprimido de javier el valor ceda al tormento que en efigie insensible sentimiento mostrais de sacra purpura tenido tan propio vuestro su dolor ha sido que os precisa el dolor a que sangriento segunda vez os vea el instrumento en que por vos fue el hombre redimido es javier quien padece que lo dudo cuando veo el efecto riguroso en vos el golpe que javier recibe mas si en javier vivis ya veo que pudo ser vuestro su dolor pues amoroso padece el corazon en donde vive,Amoroso,Religioso Mistico
370,bien puede hacer amor lo que quisiere mas que puede hacer ya que no haya hecho secreto esta mi mal aca en el pecho entiendalo no mas quien me entendiere yo callare senora si pudiere y si podre por fuerza o por derecho por ser tan bueno el mal que me habeis hecho que no deseare mas mientras viviere dentro en mi alma estais siempre metida si no cabeis en ella por ser grande exceso es vuestro que no falta suya sufrid por lengua y pluma que despida no lo forceis que tan estrecha ande que me aparte de vos y me destruya,Amoroso,Amoroso
433,lejos de vos e cerca de cuidado pobre de gozo e rico de tristeza fallido de reposo e abastado de mortal pena congoja y graveza desnudo de esperanza e abrigado de inmensa cuita e visto d aspereza la mi vida me huye mal mi agrado la muerte me persigue sin pereza ni son bastantes a satisfacer la sed ardiente de mi gran deseo tajo al presente ni a me a socorrer la enferma guadiana ni la creo solo guadalquivir tiene poder de me sanar e solo aquel deseo,Amoroso,Melancolico
343,vido a tirena descubierto el pecho felino el suyo convertido en lloro fijo mirando las dos pomas de oro que le han puesto la vida en tanto estrecho ay dice no es posible que sea hecho de piedra dura tan gentil tesoro no es este aquel de tigre o bien de toro que la vida y entranas me han deshecho mas viendo que ella un punto no desiste su mal oyendo y su tormento puro ni aun vuelve el rostro al alabar primero dice llorando arrepentido y triste mas piedra eres que piedra pecho duro y no digo que piedra mas que acero,Melancolico,Melancolico
466,amor es fuego que arde sin arder una herida que duele sin lamento un gran acontecimiento sin contento un dolor que maltrata sin dolor es un querer tan solo bien querer es andar solitario entre la gente es un no encontrar nada que contente es creer que se gana con perder es estar prisionero a voluntad es servir a quien vence al vencedor tener con quien nos mata lealtad mas como encontrar puede su favor del muerto corazon conformidad siendo en si tan contrario al mismo amor,Amoroso,Amoroso
168,un numero y dulzura milagrosa suave estilo erudicion con seso tiene lope de vega con exceso sobre cuantos escriben verso o prosa natural es el numen y copiosa la vena cual caracter sacro impreso es sabroso en lo lirico y el peso en su epico poema es grave cosa tiene eleccion dispone y en el solo se ve en lo sumo la una y la otra parte de ciencia y natural con tal grandeza que se puede dudar por este apolo si la naturaleza vence al arte o vence el arte a la naturaleza,Religioso Mistico,Religioso Mistico
